City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,heroica caborca,30.7167,-112.15,33.87,26,21,1.2,MX,1728497851
294,portel,-1.9356,-50.8211,36.71,31,88,2.62,BR,1728497852
295,tolanaro,-25.0319,46.9987,21.04,94,75,4.63,MG,1728497855
296,abeche,13.8292,20.8324,32.51,28,100,3.52,TD,1728497856
297,crystal city,28.6775,-99.8281,33.06,29,0,0.0,US,1728497857
298,hillvue,-31.1244,150.915,9.95,87,3,4.63,AU,1728497858
299,greymouth,-42.4667,171.2,7.42,92,90,2.45,NZ,1728497859
300,urumqi,43.801,87.6005,11.53,41,0,2.0,CN,1728497861
301,pochinok,54.4068,32.4407,7.77,91,59,4.53,RU,1728497862
302,mesyagutovo,55.5303,58.2528,6.24,55,100,8.02,RU,1728497864
303,bunia,1.5667,30.25,17.83,84,47,0.54,CD,1728497865
304,kingston,17.997,-76.7936,32.31,70,40,5.66,JM,1728497810
305,fortaleza,-3.7227,-38.5247,31.15,81,40,6.17,BR,1728497719
306,tamanrasset,22.785,5.5228,30.95,13,40,1.54,DZ,1728497868
307,khvoynaya,58.9,34.5333,1.74,86,100,4.32,RU,1728497869
308,carauari,-4.8828,-66.8958,36.15,39,98,1.37,BR,1728497871
309,charters towers,-20.1,146.2667,19.99,96,1,3.13,AU,1728497872
310,sirte,31.2089,16.5887,29.8,52,7,5.55,LY,1728497873
311,ozernyy,55.5802,32.4127,6.1,93,99,3.51,RU,1728497809
312,pisco,-13.7,-76.2167,21.03,73,75,5.66,PE,1728497875
313,inhambane,-23.865,35.3833,22.99,83,20,3.6,MZ,1728497876
314,quellon,-43.1167,-73.6167,14.03,68,55,2.58,CL,1728497878
315,chhor,25.5167,69.7667,33.05,25,69,3.92,PK,1728497879
316,holbrook,40.8123,-73.0784,20.07,49,40,4.02,US,1728497739
317,machico,32.7,-16.7667,27.23,85,75,2.57,PT,1728497881
318,nagqu,31.5,92.0,1.96,66,64,0.82,CN,1728497882
319,gusinoozyorsk,51.2833,106.5,3.39,43,86,1.95,RU,1728497880
320,tazovsky,67.4667,78.7,-4.05,86,99,10.65,RU,1728497885
321,hamilton,39.1834,-84.5333,23.47,40,0,2.57,US,1728497298
322,monte carmelo,-18.7247,-47.4986,34.8,22,37,2.36,BR,1728497887
323,muynoq,43.7683,59.0214,18.77,57,62,6.0,UZ,1728497888
324,novobod,39.0108,70.1508,13.98,56,22,0.88,TJ,1728497889
325,tura,25.5198,90.2201,22.17,95,20,1.18,IN,1728497891
326,plastun,44.7561,136.2939,5.6,87,0,2.06,RU,1728497892
327,flying fish cove,-10.4217,105.6791,24.82,88,75,5.14,CX,1728497893
328,santa catalina,9.3337,122.8637,26.03,87,94,1.58,PH,1728497894
329,uliastay,47.7417,96.8444,1.75,41,4,2.22,MN,1728497895
330,tatishchevo,51.6703,45.5953,10.7,81,59,3.73,RU,1728497896
331,hailar,49.2,119.7,1.93,44,53,6.7,CN,1728497898
332,iron river,46.0927,-88.6423,13.78,40,2,1.49,US,1728497899
333,korkuteli,37.065,30.1957,17.53,64,22,0.32,TR,1728497900
334,fort-shevchenko,44.5086,50.263,19.03,64,83,8.83,KZ,1728497901
335,kuanda,56.3161,116.0806,-7.08,94,81,0.95,RU,1728497902
336,saldanha,-33.0117,17.9442,14.3,88,32,1.91,ZA,1728497904
337,aykhal,66.0,111.5,-11.76,100,94,1.96,RU,1728497716
338,lionel town,17.8101,-77.2406,29.17,77,54,2.8,JM,1728497906
339,al qaryatayn,34.2296,37.2407,23.32,29,0,1.21,SY,1728497834
340,nishinoomote,30.7333,131.0,24.46,62,46,4.85,JP,1728497794
341,nieuw amsterdam,5.8833,-55.0833,30.99,64,32,7.26,SR,1728497910
342,gornopravdinsk,60.05,69.9,-2.75,72,77,1.98,RU,1728497911
343,kamyanyets,52.4001,23.81,17.54,70,100,4.82,BY,1728497913
344,vyyezdnoye,55.3815,43.7864,5.68,87,100,3.52,RU,1728497915
345,grand falls-windsor,48.9332,-55.6649,10.84,89,100,0.45,CA,1728497916
346,tselinnoye,53.0833,85.6667,8.69,79,100,3.72,RU,1728497917
347,adrar,20.5022,-10.0711,36.32,25,88,3.41,MR,1728497918
348,shalkar,47.8288,59.6258,16.94,28,81,3.99,KZ,1728497919
349,itaituba,-4.2761,-55.9836,36.09,46,40,3.09,BR,1728497921
350,teknaf,20.8624,92.3058,26.36,84,6,2.22,BD,1728497715
351,sambava,-14.2667,50.1667,23.61,76,35,7.2,MG,1728497923
352,achinsk,56.2694,90.4993,0.41,84,45,5.45,RU,1728497647
353,galle,6.0367,80.217,28.85,78,98,0.45,LK,1728497925
354,gargzdai,55.7128,21.4033,12.09,97,88,2.61,LT,1728497926
355,cole harbour,44.6724,-63.4751,15.66,53,75,4.63,CA,1728497765
356,oltinko'l,40.8011,72.1634,21.27,35,0,1.62,UZ,1728497929
357,novyy urgal,51.0736,132.5642,-0.67,66,100,1.65,RU,1728497930
358,al ghayzah,16.2079,52.176,25.99,80,11,5.89,YE,1728497931
359,hwasun,35.0594,126.985,14.67,96,100,1.22,KR,1728497932
360,ketchikan,55.3422,-131.6461,9.32,93,100,4.63,US,1728497933
361,manokwari,-0.8667,134.0833,26.45,77,54,1.4,ID,1728497934
362,dryden,49.7833,-92.7503,12.16,40,0,4.63,CA,1728497936
363,chulakkurgan,43.765,69.1814,18.54,23,0,3.98,KZ,1728497939
